load 2 P A,load 2 Q A,load2 P B,load 2 Q B,load 2 P C,load 2 Q C,load 1 P A,load 1 A,load 1 P B,load 1 Q B,load 1 P C,load 1 Q C,load 3 P,load 3 Q
0.0985,0.047705727,0.107618767,0.048564145,0.102225851,0.048261044,0.1535,0.074343443,0.155758559,0.074908406,0.162048653,0.076178517,0.12,0.058118653
0.0935,0.045284117,0.09430273,0.049748905,0.096966572,0.045512334,0.1535,0.074343443,0.160199969,0.074733186,0.160908288,0.075872019,0.1,0.04843221
0.0985,0.047705727,0.100494631,0.051115669,0.103294893,0.048941286,0.1535,0.074343443,0.157217675,0.077204757,0.159368993,0.080689717,0.12,0.058118653
0.0935,0.045284117,0.099236167,0.046600302,0.097063794,0.046004324,0.1585,0.076765054,0.162325492,0.077855928,0.16488531,0.078820297,0.1,0.04843221
0.0985,0.047705727,0.101128967,0.051877975,0.099227434,0.049765472,0.1485,0.071921833,0.150192189,0.072502105,0.152525933,0.075903514,0.1,0.04843221
0.0985,0.047705727,0.105086639,0.051384911,0.10312847,0.049689686,0.1585,0.076765054,0.158633571,0.079147658,0.162006868,0.080986009,0.12,0.058118653
0.0985,0.047705727,0.107373712,0.049281758,0.100449823,0.049488014,0.1535,0.074343443,0.157156378,0.075756126,0.16330759,0.077741723,0.1,0.04843221
0.0985,0.047705727,0.100841951,0.050566857,0.100868857,0.049487801,0.1435,0.069500222,0.149053686,0.071329671,0.155607971,0.073838512,0.1,0.04843221
0.0985,0.047705727,0.103095676,0.048482306,0.102337532,0.0481173,0.1535,0.074343443,0.155021089,0.077381169,0.156332467,0.080209801,0.1,0.04843221
0.0985,0.047705727,0.103695021,0.048039567,0.10081005,0.049501004,0.1535,0.074343443,0.155756472,0.074755338,0.157519122,0.077542374,0.1,0.04843221
0.0985,0.047705727,0.104607856,0.051056352,0.098859439,0.049258581,0.1485,0.071921833,0.153191003,0.075487889,0.157384799,0.078614669,0.1,0.04843221
0.0985,0.047705727,0.10520724,0.049826751,0.102562256,0.050018694,0.1535,0.074343443,0.159665352,0.075092047,0.162135809,0.075221512,0.1,0.04843221
0.0985,0.047705727,0.099807403,0.048720387,0.1012542,0.048922433,0.1435,0.069500222,0.148155607,0.071677664,0.150916762,0.073605981,0.1,0.04843221
0.0935,0.045284117,0.101726432,0.047016996,0.094418153,0.045509696,0.1435,0.069500222,0.145328497,0.072967951,0.147429024,0.073931082,0.1,0.04843221
0.0935,0.045284117,0.100048485,0.049361558,0.095816095,0.046981954,0.1485,0.071921833,0.155317211,0.074694957,0.159578801,0.074956454,0.1,0.04843221
0.0985,0.047705727,0.104081164,0.051854649,0.09925631,0.049848559,0.1435,0.069500222,0.148745192,0.072501564,0.15376917,0.074497223,0.12,0.058118653
